dish_name,description
Edamame,"Lightly salted boiled soybeans served in their pods. A healthy and protein-rich appetizer, perfect for sharing and seasoned with just a hint of sea salt."
Miso Soup,"A warm and comforting Japanese broth made from miso paste, dashi, tofu cubes, and wakame seaweed. A traditional starter that awakens the palate."
Sushi Platter,"A vibrant assortment of nigiri and maki rolls featuring fresh raw fish, vinegared rice, vegetables, and seaweed. A visual and flavorful highlight of Japanese cuisine."
Chicken Teriyaki,"Juicy chicken fillet grilled and glazed with a sweet-savory teriyaki sauce, often served with steamed rice and vegetables."
Ramen,"A hearty noodle soup filled with rich broth, sliced pork, soft-boiled eggs, bamboo shoots, and green onions. A complete and soul-warming meal in a bowl."
Mochi Ice Cream,"Soft and chewy rice flour dough balls filled with creamy, flavored ice cream. A modern dessert with a delightfully chewy texture and refreshing core."
Matcha Cake,"A moist and fluffy Japanese sponge cake infused with premium matcha green tea powder and topped with whipped cream for a balanced earthy sweetness."
Spring Rolls,"Crispy rice paper rolls filled with julienned vegetables or duck, deep-fried and served with a tangy dipping sauce. A classic and crunchy starter."
Szechuan Chicken Bites,"Spicy and tangy bite-sized chicken pieces tossed with dried chilies, garlic, and Szechuan peppercorns — bold, fiery, and addictively crunchy."
Kung Pao Chicken,"A classic Chinese stir-fry of tender chicken, peanuts, and vegetables in a savory-spicy sauce with hints of soy and chili."
Beef Chow Mein,"Wok-tossed noodles with marinated beef, cabbage, bell peppers, and soy-based sauce. A flavorful street-food favorite loaded with texture."
Mapo Tofu,"A Sichuan specialty with silky tofu cubes swimming in a spicy, oily sauce with minced pork, fermented black beans, and mouth-numbing peppercorns."
Mango Sticky Rice,"A luscious Thai-style dessert featuring sticky rice drenched in sweet coconut milk, served with ripe mango slices and a sprinkle of sesame seeds."
Fried Sesame Balls,"Golden-crisp rice flour balls with a gooey red bean paste center, coated in sesame seeds and deep-fried until puffed and crunchy."
Samosa,"A golden-fried pastry triangle filled with spiced mashed potatoes, green peas, and cumin. Served with chutneys, it’s a staple of Indian street food."
Pakora,"Crispy fritters made from chickpea batter coated on vegetables or paneer and deep-fried. Perfect as a snack with chai or chutney."
Butter Chicken,"Tender chicken pieces marinated in yogurt and spices, cooked in a rich, buttery tomato sauce with cream. A North Indian crowd-pleaser."
Paneer Tikka Masala,"Char-grilled cubes of paneer simmered in a creamy tomato-based gravy with traditional Indian spices — a vegetarian’s dream dish."
Rogan Josh,"A bold Kashmiri lamb curry slow-cooked with yogurt, onions, and warm spices like cardamom, cinnamon, and cloves. Aromatic and hearty."
Gulab Jamun,"Soft dough balls made from milk solids, deep-fried and soaked in rose-scented sugar syrup. Served warm — a dessert that melts in your mouth."
Rasmalai,"Soft paneer patties immersed in chilled saffron milk and garnished with pistachios. Sweet, milky, and elegant in every bite."
Kulfi,"Traditional Indian ice cream made by slowly simmering milk and cream, flavored with cardamom and pistachio. Dense, creamy, and served frozen on a stick."
